angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.15,,"(248, 138, 122, 122)",,0.0,,0.4,,0.0,,0.05,,0.04,,0.35,
0.07,,"(249, 130, 133, 133)",,0.0,,0.44,,0.0,,0.31,,0.17,,0.01,
0.07,,"(252, 131, 129, 129)",,0.0,,0.35,,0.0,,0.36,,0.2,,0.02,
0.12,,"(252, 130, 131, 131)",,0.0,,0.16,,0.0,,0.31,,0.39,,0.01,
0.05,,"(248, 132, 127, 127)",,0.0,,0.58,,0.0,,0.17,,0.18,,0.02,
0.04,,"(251, 129, 134, 134)",,0.0,,0.47,,0.0,,0.25,,0.18,,0.05,
0.03,,"(252, 129, 133, 133)",,0.0,,0.42,,0.01,,0.17,,0.09,,0.28,
0.14,,"(250, 129, 136, 136)",,0.0,,0.42,,0.03,,0.11,,0.06,,0.23,
0.07,,"(250, 128, 135, 135)",,0.0,,0.62,,0.02,,0.06,,0.05,,0.19,
0.07,,"(251, 130, 128, 128)",,0.0,,0.7,,0.01,,0.01,,0.03,,0.17,
0.18,,"(251, 129, 127, 127)",,0.0,,0.48,,0.03,,0.02,,0.04,,0.24,
0.22,,"(261, 130, 126, 126)",,0.0,,0.51,,0.07,,0.02,,0.05,,0.13,
0.31,,"(250, 129, 129, 129)",,0.0,,0.48,,0.01,,0.02,,0.1,,0.08,
0.34,,"(251, 129, 129, 129)",,0.0,,0.34,,0.01,,0.03,,0.14,,0.14,
0.09,,"(255, 125, 130, 130)",,0.0,,0.57,,0.0,,0.05,,0.18,,0.11,
0.05,,"(255, 124, 128, 128)",,0.0,,0.62,,0.0,,0.07,,0.23,,0.03,
0.1,,"(256, 123, 128, 128)",,0.0,,0.33,,0.0,,0.15,,0.4,,0.01,
0.03,,"(256, 123, 129, 129)",,0.0,,0.75,,0.0,,0.05,,0.09,,0.08,
0.05,,"(256, 123, 130, 130)",,0.0,,0.57,,0.01,,0.01,,0.05,,0.3,
0.09,,"(250, 119, 141, 141)",,0.0,,0.4,,0.11,,0.02,,0.04,,0.34,
0.16,,"(257, 124, 131, 131)",,0.0,,0.14,,0.24,,0.01,,0.06,,0.38,
0.32,,"(257, 123, 130, 130)",,0.0,,0.48,,0.0,,0.02,,0.06,,0.11,
0.09,,"(255, 128, 122, 122)",,0.0,,0.46,,0.0,,0.0,,0.02,,0.43,
0.17,,"(258, 124, 128, 128)",,0.0,,0.43,,0.0,,0.05,,0.16,,0.18,
0.06,,"(258, 123, 126, 126)",,0.0,,0.51,,0.0,,0.12,,0.23,,0.08,
0.03,,"(258, 123, 126, 126)",,0.0,,0.67,,0.0,,0.04,,0.14,,0.12,
0.03,,"(258, 123, 127, 127)",,0.0,,0.67,,0.0,,0.05,,0.13,,0.12,
0.03,,"(259, 123, 127, 127)",,0.0,,0.7,,0.0,,0.05,,0.09,,0.13,
0.05,,"(260, 124, 126, 126)",,0.0,,0.5,,0.0,,0.02,,0.07,,0.36,
0.06,,"(258, 121, 130, 130)",,0.0,,0.35,,0.0,,0.21,,0.29,,0.07,
0.04,,"(260, 122, 126, 126)",,0.0,,0.28,,0.0,,0.31,,0.34,,0.02,
0.07,,"(261, 123, 126, 126)",,0.0,,0.49,,0.0,,0.1,,0.27,,0.06,
0.04,,"(262, 121, 128, 128)",,0.0,,0.69,,0.0,,0.05,,0.09,,0.12,
0.04,,"(262, 123, 129, 129)",,0.0,,0.68,,0.01,,0.03,,0.12,,0.12,
0.05,,"(264, 123, 128, 128)",,0.0,,0.36,,0.01,,0.38,,0.16,,0.03,
0.03,,"(265, 123, 127, 127)",,0.0,,0.15,,0.02,,0.68,,0.11,,0.01,
0.04,,"(265, 126, 124, 124)",,0.0,,0.54,,0.08,,0.06,,0.04,,0.24,
0.05,,"(265, 128, 128, 128)",,0.0,,0.61,,0.07,,0.04,,0.1,,0.13,
0.11,,"(265, 129, 128, 128)",,0.0,,0.18,,0.23,,0.36,,0.08,,0.04,
0.04,,"(267, 128, 131, 131)",,0.0,,0.4,,0.05,,0.33,,0.11,,0.08,
0.06,,"(272, 131, 125, 125)",,0.0,,0.46,,0.0,,0.27,,0.19,,0.02,
0.11,,"(268, 131, 128, 128)",,0.0,,0.2,,0.0,,0.43,,0.25,,0.0,
0.16,,"(269, 132, 130, 130)",,0.0,,0.24,,0.0,,0.27,,0.33,,0.0,
0.18,,"(268, 132, 133, 133)",,0.0,,0.22,,0.0,,0.3,,0.29,,0.0,
0.09,,"(266, 136, 131, 131)",,0.0,,0.4,,0.0,,0.21,,0.29,,0.0,
0.13,,"(266, 137, 132, 132)",,0.0,,0.24,,0.04,,0.43,,0.14,,0.03,
0.38,,"(264, 138, 134, 134)",,0.0,,0.26,,0.13,,0.05,,0.12,,0.07,
0.22,,"(263, 137, 135, 135)",,0.0,,0.27,,0.2,,0.09,,0.12,,0.1,
0.02,,"(264, 136, 124, 124)",,0.0,,0.15,,0.01,,0.08,,0.03,,0.71,
0.08,,"(263, 135, 128, 128)",,0.0,,0.47,,0.01,,0.24,,0.12,,0.08,
0.15,,"(264, 137, 124, 124)",,0.0,,0.22,,0.0,,0.36,,0.26,,0.01,
0.14,,"(264, 136, 125, 125)",,0.0,,0.14,,0.0,,0.48,,0.24,,0.0,
0.16,,"(262, 135, 129, 129)",,0.0,,0.26,,0.02,,0.35,,0.15,,0.06,
0.05,,"(265, 134, 132, 132)",,0.0,,0.31,,0.15,,0.31,,0.1,,0.07,
0.05,,"(268, 134, 130, 130)",,0.0,,0.4,,0.1,,0.24,,0.15,,0.06,
0.03,,"(267, 133, 131, 131)",,0.0,,0.42,,0.14,,0.21,,0.15,,0.05,
0.1,,"(262, 131, 134, 134)",,0.0,,0.18,,0.21,,0.34,,0.1,,0.06,
0.05,0.26,"(262, 133, 128, 128)","(280, 200, 94, 94)",0.0,0.02,0.21,0.1,0.11,0.05,0.4,0.08,0.08,0.48,0.15,0.02
0.05,,"(266, 130, 133, 133)",,0.0,,0.22,,0.04,,0.49,,0.15,,0.05,
0.06,,"(264, 131, 132, 132)",,0.0,,0.28,,0.16,,0.29,,0.13,,0.07,
0.07,,"(264, 128, 137, 137)",,0.0,,0.3,,0.09,,0.43,,0.1,,0.02,
0.07,,"(264, 131, 133, 133)",,0.0,,0.23,,0.18,,0.37,,0.13,,0.03,
0.13,,"(262, 131, 134, 134)",,0.0,,0.3,,0.03,,0.31,,0.16,,0.07,
0.06,,"(262, 130, 132, 132)",,0.0,,0.35,,0.03,,0.2,,0.12,,0.24,
0.08,,"(262, 132, 132, 132)",,0.0,,0.53,,0.01,,0.1,,0.2,,0.08,
0.14,,"(262, 130, 133, 133)",,0.0,,0.42,,0.0,,0.14,,0.27,,0.03,
0.11,,"(264, 130, 131, 131)",,0.0,,0.46,,0.0,,0.11,,0.31,,0.01,
0.11,,"(264, 131, 128, 128)",,0.0,,0.36,,0.0,,0.06,,0.46,,0.01,
0.13,,"(265, 131, 129, 129)",,0.0,,0.21,,0.0,,0.09,,0.55,,0.01,
0.25,,"(263, 131, 131, 131)",,0.0,,0.25,,0.0,,0.12,,0.35,,0.02,
0.17,,"(263, 131, 131, 131)",,0.0,,0.39,,0.0,,0.14,,0.24,,0.06,
0.15,,"(263, 132, 130, 130)",,0.0,,0.33,,0.0,,0.06,,0.43,,0.03,
0.15,,"(264, 133, 129, 129)",,0.0,,0.19,,0.0,,0.13,,0.52,,0.01,
0.09,,"(264, 132, 130, 130)",,0.0,,0.21,,0.0,,0.23,,0.47,,0.01,
0.1,,"(264, 131, 132, 132)",,0.0,,0.5,,0.04,,0.14,,0.16,,0.07,
0.17,,"(263, 131, 133, 133)",,0.0,,0.38,,0.14,,0.11,,0.11,,0.09,
0.26,,"(261, 128, 136, 136)",,0.0,,0.32,,0.15,,0.09,,0.11,,0.08,
0.27,,"(268, 131, 131, 131)",,0.0,,0.17,,0.33,,0.13,,0.09,,0.01,
0.29,,"(273, 134, 124, 124)",,0.0,,0.14,,0.02,,0.03,,0.51,,0.01,
0.34,,"(273, 133, 126, 126)",,0.01,,0.23,,0.08,,0.04,,0.29,,0.01,
0.15,,"(269, 127, 132, 132)",,0.0,,0.09,,0.58,,0.09,,0.08,,0.01,
0.05,,"(273, 124, 133, 133)",,0.01,,0.04,,0.79,,0.05,,0.06,,0.0,
0.01,,"(285, 125, 128, 128)",,0.0,,0.02,,0.92,,0.04,,0.01,,0.0,
0.01,,"(285, 126, 126, 126)",,0.0,,0.03,,0.95,,0.01,,0.0,,0.01,
0.09,,"(273, 122, 136, 136)",,0.0,,0.04,,0.76,,0.0,,0.02,,0.08,
0.18,,"(283, 126, 127, 127)",,0.0,,0.32,,0.45,,0.0,,0.04,,0.01,
0.15,,"(277, 125, 126, 126)",,0.0,,0.14,,0.63,,0.0,,0.02,,0.05,
0.14,,"(280, 124, 129, 129)",,0.0,,0.14,,0.49,,0.02,,0.21,,0.01,
0.11,,"(272, 121, 129, 129)",,0.0,,0.04,,0.82,,0.0,,0.01,,0.02,
0.02,,"(274, 121, 135, 135)",,0.0,,0.02,,0.9,,0.0,,0.01,,0.05,
0.05,,"(273, 118, 137, 137)",,0.0,,0.08,,0.78,,0.01,,0.04,,0.04,
0.13,,"(272, 118, 136, 136)",,0.0,,0.08,,0.74,,0.0,,0.02,,0.03,
0.05,,"(272, 121, 131, 131)",,0.0,,0.01,,0.87,,0.0,,0.0,,0.06,
0.06,,"(273, 119, 134, 134)",,0.0,,0.03,,0.84,,0.0,,0.01,,0.05,
0.03,,"(269, 122, 135, 135)",,0.0,,0.03,,0.86,,0.0,,0.01,,0.06,
0.04,,"(271, 126, 127, 127)",,0.0,,0.01,,0.9,,0.0,,0.0,,0.05,
0.03,,"(272, 128, 124, 124)",,0.0,,0.01,,0.92,,0.0,,0.0,,0.04,
0.07,,"(271, 123, 136, 136)",,0.0,,0.04,,0.8,,0.01,,0.02,,0.06,
0.08,,"(271, 124, 135, 135)",,0.0,,0.03,,0.81,,0.0,,0.01,,0.07,
0.07,,"(272, 124, 134, 134)",,0.0,,0.06,,0.72,,0.02,,0.02,,0.11,
0.07,,"(271, 123, 136, 136)",,0.0,,0.07,,0.76,,0.01,,0.03,,0.06,
0.07,,"(272, 123, 135, 135)",,0.0,,0.06,,0.73,,0.03,,0.03,,0.08,
0.09,,"(276, 124, 136, 136)",,0.0,,0.05,,0.75,,0.02,,0.03,,0.06,
0.08,,"(272, 124, 134, 134)",,0.0,,0.09,,0.61,,0.07,,0.06,,0.09,
0.0,,"(274, 127, 125, 125)",,0.0,,0.01,,0.97,,0.0,,0.0,,0.01,
0.0,,"(273, 127, 125, 125)",,0.0,,0.01,,0.98,,0.01,,0.0,,0.0,
0.0,,"(274, 127, 124, 124)",,0.0,,0.01,,0.96,,0.01,,0.0,,0.01,
0.01,,"(272, 128, 123, 123)",,0.0,,0.02,,0.93,,0.02,,0.01,,0.0,
0.01,,"(273, 128, 123, 123)",,0.0,,0.02,,0.9,,0.03,,0.01,,0.02,
0.02,,"(278, 124, 130, 130)",,0.0,,0.03,,0.86,,0.06,,0.02,,0.01,
0.01,,"(278, 123, 131, 131)",,0.0,,0.02,,0.88,,0.05,,0.02,,0.01,
0.01,,"(273, 129, 122, 122)",,0.0,,0.02,,0.91,,0.04,,0.01,,0.01,
0.02,,"(273, 129, 122, 122)",,0.0,,0.02,,0.9,,0.04,,0.01,,0.01,
0.02,,"(273, 128, 125, 125)",,0.0,,0.03,,0.87,,0.06,,0.01,,0.01,
0.12,,"(275, 126, 132, 132)",,0.0,,0.12,,0.53,,0.16,,0.04,,0.02,
0.05,,"(268, 123, 128, 128)",,0.0,,0.19,,0.54,,0.05,,0.07,,0.11,
0.08,,"(274, 131, 121, 121)",,0.0,,0.31,,0.24,,0.09,,0.1,,0.18,
0.04,,"(269, 123, 129, 129)",,0.0,,0.32,,0.15,,0.07,,0.13,,0.29,
0.03,,"(268, 123, 129, 129)",,0.0,,0.28,,0.04,,0.04,,0.1,,0.5,
0.09,,"(272, 124, 131, 131)",,0.0,,0.41,,0.01,,0.12,,0.28,,0.1,
0.06,,"(272, 124, 130, 130)",,0.0,,0.48,,0.01,,0.07,,0.17,,0.21,
0.06,,"(272, 124, 130, 130)",,0.0,,0.53,,0.0,,0.08,,0.18,,0.15,
0.08,,"(272, 122, 130, 130)",,0.0,,0.55,,0.0,,0.14,,0.13,,0.1,
0.09,,"(273, 124, 128, 128)",,0.0,,0.37,,0.01,,0.35,,0.11,,0.07,
0.07,,"(273, 124, 128, 128)",,0.0,,0.12,,0.01,,0.69,,0.1,,0.01,
0.06,,"(274, 124, 126, 126)",,0.0,,0.07,,0.01,,0.78,,0.06,,0.01,
0.07,,"(274, 123, 126, 126)",,0.0,,0.17,,0.0,,0.64,,0.11,,0.0,
0.05,,"(274, 123, 127, 127)",,0.0,,0.05,,0.01,,0.8,,0.09,,0.0,
0.06,,"(273, 122, 130, 130)",,0.0,,0.17,,0.02,,0.64,,0.1,,0.01,
0.04,,"(270, 129, 124, 124)",,0.0,,0.5,,0.04,,0.07,,0.08,,0.25,
0.04,,"(268, 127, 130, 130)",,0.0,,0.36,,0.01,,0.01,,0.12,,0.46,
0.11,,"(269, 128, 130, 130)",,0.0,,0.34,,0.01,,0.01,,0.14,,0.4,
0.08,,"(269, 128, 129, 129)",,0.0,,0.34,,0.0,,0.01,,0.14,,0.43,
0.1,,"(269, 128, 130, 130)",,0.0,,0.31,,0.01,,0.02,,0.15,,0.42,
0.04,,"(268, 128, 129, 129)",,0.0,,0.54,,0.0,,0.01,,0.15,,0.25,
0.08,,"(275, 124, 130, 130)",,0.0,,0.44,,0.0,,0.02,,0.05,,0.4,
0.07,,"(274, 123, 129, 129)",,0.0,,0.66,,0.0,,0.07,,0.11,,0.09,
0.25,,"(273, 122, 129, 129)",,0.0,,0.32,,0.0,,0.15,,0.17,,0.11,
0.14,,"(273, 121, 129, 129)",,0.0,,0.32,,0.0,,0.25,,0.18,,0.11,
0.13,,"(270, 128, 127, 127)",,0.0,,0.56,,0.0,,0.03,,0.09,,0.19,
0.03,,"(269, 129, 126, 126)",,0.0,,0.58,,0.0,,0.02,,0.07,,0.31,
0.03,,"(269, 123, 135, 135)",,0.0,,0.71,,0.0,,0.0,,0.03,,0.22,
0.02,,"(268, 126, 136, 136)",,0.0,,0.6,,0.01,,0.01,,0.03,,0.34,
0.01,,"(266, 126, 138, 138)",,0.0,,0.64,,0.0,,0.0,,0.02,,0.34,
0.03,,"(268, 127, 134, 134)",,0.0,,0.71,,0.0,,0.0,,0.03,,0.23,
0.09,,"(269, 127, 132, 132)",,0.0,,0.59,,0.0,,0.12,,0.11,,0.08,
0.04,,"(271, 126, 130, 130)",,0.0,,0.25,,0.0,,0.57,,0.11,,0.03,
0.22,,"(270, 128, 131, 131)",,0.0,,0.38,,0.0,,0.14,,0.21,,0.04,
0.13,,"(268, 125, 135, 135)",,0.0,,0.29,,0.0,,0.32,,0.25,,0.0,
0.04,,"(270, 125, 130, 130)",,0.0,,0.35,,0.0,,0.27,,0.34,,0.0,
0.01,,"(270, 126, 129, 129)",,0.0,,0.83,,0.0,,0.08,,0.08,,0.01,
0.02,,"(269, 125, 133, 133)",,0.0,,0.67,,0.01,,0.15,,0.12,,0.03,
0.08,,"(268, 126, 133, 133)",,0.0,,0.53,,0.02,,0.15,,0.16,,0.06,
0.02,,"(270, 126, 132, 132)",,0.0,,0.5,,0.01,,0.32,,0.14,,0.01,
0.06,,"(269, 127, 129, 129)",,0.0,,0.38,,0.0,,0.28,,0.28,,0.0,
0.05,,"(269, 125, 131, 131)",,0.0,,0.24,,0.0,,0.3,,0.4,,0.0,
0.06,,"(270, 125, 133, 133)",,0.0,,0.36,,0.0,,0.29,,0.28,,0.0,
0.06,,"(269, 127, 134, 134)",,0.0,,0.57,,0.0,,0.16,,0.14,,0.06,
0.08,,"(265, 130, 136, 136)",,0.0,,0.63,,0.0,,0.04,,0.11,,0.14,
0.06,,"(266, 129, 140, 140)",,0.0,,0.59,,0.02,,0.13,,0.12,,0.08,
0.04,,"(266, 129, 139, 139)",,0.0,,0.41,,0.06,,0.35,,0.08,,0.07,
0.03,,"(270, 132, 135, 135)",,0.0,,0.32,,0.1,,0.21,,0.04,,0.29,
0.02,,"(270, 134, 133, 133)",,0.0,,0.3,,0.02,,0.44,,0.21,,0.01,
0.04,,"(271, 134, 132, 132)",,0.0,,0.16,,0.02,,0.6,,0.17,,0.02,
0.02,,"(271, 133, 130, 130)",,0.0,,0.07,,0.0,,0.71,,0.18,,0.01,
0.05,,"(269, 132, 132, 132)",,0.0,,0.12,,0.0,,0.48,,0.35,,0.0,
0.07,,"(269, 132, 132, 132)",,0.0,,0.13,,0.0,,0.53,,0.27,,0.01,
0.06,,"(270, 132, 130, 130)",,0.0,,0.14,,0.0,,0.36,,0.42,,0.01,
0.02,,"(269, 135, 124, 124)",,0.0,,0.41,,0.0,,0.3,,0.25,,0.01,
0.02,,"(269, 135, 124, 124)",,0.0,,0.59,,0.0,,0.14,,0.22,,0.02,
0.02,,"(269, 134, 125, 125)",,0.0,,0.49,,0.0,,0.22,,0.26,,0.02,
0.04,,"(267, 133, 129, 129)",,0.0,,0.46,,0.0,,0.22,,0.28,,0.0,
0.02,,"(269, 134, 125, 125)",,0.0,,0.54,,0.0,,0.13,,0.19,,0.1,
0.02,,"(270, 132, 130, 130)",,0.0,,0.41,,0.01,,0.34,,0.21,,0.02,
0.06,,"(267, 139, 126, 126)",,0.0,,0.45,,0.01,,0.13,,0.14,,0.21,
0.03,,"(266, 138, 127, 127)",,0.0,,0.44,,0.01,,0.19,,0.11,,0.22,
0.03,,"(266, 138, 127, 127)",,0.0,,0.48,,0.01,,0.18,,0.1,,0.2,
0.01,,"(269, 131, 131, 131)",,0.0,,0.51,,0.01,,0.28,,0.19,,0.01,
0.02,,"(269, 131, 132, 132)",,0.0,,0.53,,0.01,,0.24,,0.17,,0.03,
0.03,,"(267, 132, 130, 130)",,0.0,,0.51,,0.01,,0.29,,0.15,,0.02,
0.02,,"(270, 131, 132, 132)",,0.0,,0.5,,0.01,,0.27,,0.18,,0.01,
0.03,,"(270, 130, 132, 132)",,0.0,,0.23,,0.01,,0.57,,0.15,,0.01,
0.02,,"(271, 129, 131, 131)",,0.0,,0.23,,0.0,,0.5,,0.23,,0.01,
0.03,,"(270, 129, 133, 133)",,0.0,,0.19,,0.01,,0.64,,0.13,,0.01,
0.04,,"(270, 128, 134, 134)",,0.0,,0.15,,0.0,,0.61,,0.19,,0.0,
0.01,,"(271, 132, 125, 125)",,0.0,,0.62,,0.0,,0.19,,0.16,,0.01,
0.01,,"(269, 128, 134, 134)",,0.0,,0.68,,0.01,,0.16,,0.06,,0.07,
0.02,,"(268, 128, 137, 137)",,0.0,,0.76,,0.02,,0.06,,0.1,,0.04,
0.19,,"(267, 137, 123, 123)",,0.0,,0.19,,0.07,,0.01,,0.02,,0.52,
0.18,,"(270, 127, 138, 138)",,0.0,,0.15,,0.4,,0.01,,0.02,,0.24,
0.04,,"(271, 124, 137, 137)",,0.0,,0.11,,0.54,,0.02,,0.03,,0.26,
0.03,,"(273, 126, 133, 133)",,0.0,,0.09,,0.62,,0.07,,0.02,,0.17,
0.03,,"(274, 127, 131, 131)",,0.0,,0.24,,0.05,,0.56,,0.06,,0.06,
0.02,,"(271, 126, 133, 133)",,0.0,,0.19,,0.01,,0.71,,0.07,,0.01,
0.02,,"(273, 128, 131, 131)",,0.0,,0.24,,0.01,,0.63,,0.09,,0.01,
0.04,,"(271, 128, 132, 132)",,0.0,,0.19,,0.01,,0.61,,0.14,,0.01,
0.08,,"(272, 131, 131, 131)",,0.0,,0.4,,0.0,,0.37,,0.12,,0.03,
0.08,,"(269, 142, 118, 118)",,0.0,,0.63,,0.0,,0.09,,0.18,,0.02,
0.09,,"(269, 142, 118, 118)",,0.0,,0.7,,0.0,,0.06,,0.11,,0.03,
0.12,,"(269, 142, 119, 119)",,0.0,,0.6,,0.0,,0.09,,0.18,,0.01,
0.11,,"(269, 145, 114, 114)",,0.0,,0.57,,0.01,,0.21,,0.08,,0.03,
0.15,,"(268, 144, 120, 120)",,0.0,,0.55,,0.04,,0.03,,0.1,,0.13,
0.22,,"(268, 143, 124, 124)",,0.0,,0.25,,0.21,,0.01,,0.05,,0.26,
0.05,,"(269, 141, 121, 121)",,0.0,,0.01,,0.86,,0.01,,0.0,,0.07,
0.02,,"(272, 132, 125, 125)",,0.0,,0.02,,0.92,,0.01,,0.01,,0.03,
0.01,,"(273, 129, 129, 129)",,0.0,,0.01,,0.94,,0.0,,0.0,,0.04,
0.0,,"(273, 125, 129, 129)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,"(271, 123, 128, 128)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"(276, 119, 132, 132)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.07,,"(287, 127, 121, 121)",,0.0,,0.08,,0.78,,0.04,,0.02,,0.0,
0.04,,"(288, 127, 119, 119)",,0.0,,0.11,,0.56,,0.24,,0.04,,0.01,
